accuracy,alpha,embed_dim,hidden_dim,iteration,learning_rate,max_iter,train_vocab_size,trial
0.0,1e-05,2,2,10,0.0001,150,50,1
0.0,1e-05,2,2,20,0.0001,150,50,1
0.0,1e-05,2,2,30,0.0001,150,50,1
0.0,1e-05,2,2,40,0.0001,150,50,1
0.038461538461538464,1e-05,2,2,50,0.0001,150,50,1
0.0,1e-05,2,2,60,0.0001,150,50,1
0.019230769230769232,1e-05,2,2,70,0.0001,150,50,1
0.0,1e-05,2,2,80,0.0001,150,50,1
0.038461538461538464,1e-05,2,2,90,0.0001,150,50,1
0.019230769230769232,1e-05,2,2,100,0.0001,150,50,1
0.038461538461538464,1e-05,2,2,110,0.0001,150,50,1
0.019230769230769232,1e-05,2,2,120,0.0001,150,50,1
0.0,1e-05,2,2,130,0.0001,150,50,1
0.0,1e-05,2,2,140,0.0001,150,50,1
0.0,1e-05,2,2,150,0.0001,150,50,1
0.0,1e-05,2,2,10,0.0001,150,50,2
0.0,1e-05,2,2,20,0.0001,150,50,2
0.0,1e-05,2,2,30,0.0001,150,50,2
0.0,1e-05,2,2,40,0.0001,150,50,2
0.0,1e-05,2,2,50,0.0001,150,50,2
0.0,1e-05,2,2,60,0.0001,150,50,2
0.0,1e-05,2,2,70,0.0001,150,50,2
0.0,1e-05,2,2,80,0.0001,150,50,2
0.0,1e-05,2,2,90,0.0001,150,50,2
0.0,1e-05,2,2,100,0.0001,150,50,2
0.0,1e-05,2,2,110,0.0001,150,50,2
0.0,1e-05,2,2,120,0.0001,150,50,2
0.0,1e-05,2,2,130,0.0001,150,50,2
0.0,1e-05,2,2,140,0.0001,150,50,2
0.0,1e-05,2,2,150,0.0001,150,50,2
0.0,1e-05,2,2,10,0.0001,150,50,3
0.0,1e-05,2,2,20,0.0001,150,50,3
0.0,1e-05,2,2,30,0.0001,150,50,3
0.0,1e-05,2,2,40,0.0001,150,50,3
0.0,1e-05,2,2,50,0.0001,150,50,3
0.0,1e-05,2,2,60,0.0001,150,50,3
0.0,1e-05,2,2,70,0.0001,150,50,3
0.019230769230769232,1e-05,2,2,80,0.0001,150,50,3
0.0,1e-05,2,2,90,0.0001,150,50,3
0.019230769230769232,1e-05,2,2,100,0.0001,150,50,3
0.0,1e-05,2,2,110,0.0001,150,50,3
0.0,1e-05,2,2,120,0.0001,150,50,3
0.0,1e-05,2,2,130,0.0001,150,50,3
0.019230769230769232,1e-05,2,2,140,0.0001,150,50,3
0.019230769230769232,1e-05,2,2,150,0.0001,150,50,3
0.0,1e-05,2,2,10,0.0001,150,50,4
0.0,1e-05,2,2,20,0.0001,150,50,4
