accuracy,alpha,batch_neg,batch_pos,embed_dim,hidden_dim,learning_rate,train_size,trial
0.52,1e-05,958,946,2,2,0.0001,1904,6
0.52,1e-05,1006,998,2,2,0.0001,2004,6
0.492,1e-05,60,44,2,2,0.0001,104,7
0.492,1e-05,106,98,2,2,0.0001,204,7
0.492,1e-05,149,155,2,2,0.0001,304,7
0.492,1e-05,200,204,2,2,0.0001,404,7
0.492,1e-05,240,264,2,2,0.0001,504,7
0.492,1e-05,294,310,2,2,0.0001,604,7
0.492,1e-05,349,355,2,2,0.0001,704,7
0.492,1e-05,394,410,2,2,0.0001,804,7
0.492,1e-05,444,460,2,2,0.0001,904,7
0.492,1e-05,489,515,2,2,0.0001,1004,7
0.492,1e-05,540,564,2,2,0.0001,1104,7
0.492,1e-05,589,615,2,2,0.0001,1204,7
0.492,1e-05,640,664,2,2,0.0001,1304,7
0.492,1e-05,692,712,2,2,0.0001,1404,7
0.492,1e-05,738,766,2,2,0.0001,1504,7
0.492,1e-05,799,805,2,2,0.0001,1604,7
0.492,1e-05,851,853,2,2,0.0001,1704,7
0.492,1e-05,910,894,2,2,0.0001,1804,7
0.492,1e-05,958,946,2,2,0.0001,1904,7
0.492,1e-05,1006,998,2,2,0.0001,2004,7
0.526,1e-05,50,54,2,2,0.0001,104,8
0.526,1e-05,94,110,2,2,0.0001,204,8
0.526,1e-05,151,153,2,2,0.0001,304,8
0.526,1e-05,207,197,2,2,0.0001,404,8
0.526,1e-05,259,245,2,2,0.0001,504,8
0.526,1e-05,309,295,2,2,0.0001,604,8
0.526,1e-05,362,342,2,2,0.0001,704,8
0.526,1e-05,422,382,2,2,0.0001,804,8
0.526,1e-05,470,434,2,2,0.0001,904,8
0.526,1e-05,518,486,2,2,0.0001,1004,8
0.526,1e-05,558,546,2,2,0.0001,1104,8
0.526,1e-05,609,595,2,2,0.0001,1204,8
0.526,1e-05,661,643,2,2,0.0001,1304,8
0.526,1e-05,712,692,2,2,0.0001,1404,8
0.526,1e-05,765,739,2,2,0.0001,1504,8
0.526,1e-05,816,788,2,2,0.0001,1604,8
0.526,1e-05,862,842,2,2,0.0001,1704,8
0.526,1e-05,909,895,2,2,0.0001,1804,8
0.526,1e-05,958,946,2,2,0.0001,1904,8
0.526,1e-05,1015,989,2,2,0.0001,2004,8
0.454,1e-05,57,47,2,2,0.0001,104,9
0.454,1e-05,101,103,2,2,0.0001,204,9
0.454,1e-05,157,147,2,2,0.0001,304,9
0.454,1e-05,204,200,2,2,0.0001,404,9
0.454,1e-05,254,250,2,2,0.0001,504,9
0.454,1e-05,302,302,2,2,0.0001,604,9
0.454,1e-05,359,345,2,2,0.0001,704,9
0.454,1e-05,411,393,2,2,0.0001,804,9
0.454,1e-05,470,434,2,2,0.0001,904,9
0.454,1e-05,519,485,2,2,0.0001,1004,9
0.454,1e-05,566,538,2,2,0.0001,1104,9
0.454,1e-05,616,588,2,2,0.0001,1204,9
0.454,1e-05,665,639,2,2,0.0001,1304,9
0.454,1e-05,704,700,2,2,0.0001,1404,9
0.454,1e-05,760,744,2,2,0.0001,1504,9
0.454,1e-05,812,792,2,2,0.0001,1604,9
0.454,1e-05,859,845,2,2,0.0001,1704,9
0.454,1e-05,920,884,2,2,0.0001,1804,9
0.454,1e-05,974,930,2,2,0.0001,1904,9
0.454,1e-05,1025,979,2,2,0.0001,2004,9
0.51,1e-05,55,49,2,2,0.0001,104,10
0.51,1e-05,107,97,2,2,0.0001,204,10
0.51,1e-05,157,147,2,2,0.0001,304,10
0.51,1e-05,203,201,2,2,0.0001,404,10
0.51,1e-05,251,253,2,2,0.0001,504,10
0.51,1e-05,301,303,2,2,0.0001,604,10
0.51,1e-05,354,350,2,2,0.0001,704,10
0.51,1e-05,409,395,2,2,0.0001,804,10
0.51,1e-05,458,446,2,2,0.0001,904,10
0.51,1e-05,504,500,2,2,0.0001,1004,10
0.51,1e-05,550,554,2,2,0.0001,1104,10
0.51,1e-05,597,607,2,2,0.0001,1204,10
0.51,1e-05,645,659,2,2,0.0001,1304,10
0.51,1e-05,701,703,2,2,0.0001,1404,10
0.51,1e-05,749,755,2,2,0.0001,1504,10
0.51,1e-05,804,800,2,2,0.0001,1604,10
0.51,1e-05,845,859,2,2,0.0001,1704,10
0.51,1e-05,894,910,2,2,0.0001,1804,10
0.51,1e-05,952,952,2,2,0.0001,1904,10
0.51,1e-05,997,1007,2,2,0.0001,2004,10
0.442,1e-05,50,54,2,2,0.0001,104,11
0.442,1e-05,100,104,2,2,0.0001,204,11
0.442,1e-05,155,149,2,2,0.0001,304,11
0.442,1e-05,202,202,2,2,0.0001,404,11
0.442,1e-05,253,251,2,2,0.0001,504,11
0.442,1e-05,303,301,2,2,0.0001,604,11
0.442,1e-05,358,346,2,2,0.0001,704,11
0.442,1e-05,414,390,2,2,0.0001,804,11
0.442,1e-05,461,443,2,2,0.0001,904,11
