accuracy,alpha,batch_neg,batch_pos,embed_dim,equality_pretrain_max_iter,equality_pretraining_accuracy,hidden_dim,learning_rate,max_equality_pretraining_trials,rep_pretrain_max_iter,rep_pretrain_tasks,train_size,trial
0.53,0.0001,113,91,25,10,0.999,50,0.01,1,10,10,204,5
0.576,0.0001,166,138,25,10,0.999,50,0.01,1,10,10,304,5
0.66,0.0001,211,193,25,10,0.999,50,0.01,1,10,10,404,5
0.61,0.0001,262,242,25,10,0.999,50,0.01,1,10,10,504,5
0.668,0.0001,310,294,25,10,0.999,50,0.01,1,10,10,604,5
0.728,0.0001,374,330,25,10,0.999,50,0.01,1,10,10,704,5
0.752,0.0001,418,386,25,10,0.999,50,0.01,1,10,10,804,5
0.808,0.0001,470,434,25,10,0.999,50,0.01,1,10,10,904,5
0.842,0.0001,521,483,25,10,0.999,50,0.01,1,10,10,1004,5
0.89,0.0001,572,532,25,10,0.999,50,0.01,1,10,10,1104,5
0.92,0.0001,627,577,25,10,0.999,50,0.01,1,10,10,1204,5
0.928,0.0001,665,639,25,10,0.999,50,0.01,1,10,10,1304,5
0.948,0.0001,710,694,25,10,0.999,50,0.01,1,10,10,1404,5
0.956,0.0001,752,752,25,10,0.999,50,0.01,1,10,10,1504,5
0.974,0.0001,804,800,25,10,0.999,50,0.01,1,10,10,1604,5
0.98,0.0001,858,846,25,10,0.999,50,0.01,1,10,10,1704,5
0.98,0.0001,909,895,25,10,0.999,50,0.01,1,10,10,1804,5
0.98,0.0001,950,954,25,10,0.999,50,0.01,1,10,10,1904,5
0.502,0.0001,0,0,25,10,0.998,50,0.01,1,10,10,0,6
0.604,0.0001,56,48,25,10,0.998,50,0.01,1,10,10,104,6
0.548,0.0001,100,104,25,10,0.998,50,0.01,1,10,10,204,6
0.608,0.0001,145,159,25,10,0.998,50,0.01,1,10,10,304,6
0.646,0.0001,194,210,25,10,0.998,50,0.01,1,10,10,404,6
0.648,0.0001,241,263,25,10,0.998,50,0.01,1,10,10,504,6
0.708,0.0001,289,315,25,10,0.998,50,0.01,1,10,10,604,6
0.75,0.0001,344,360,25,10,0.998,50,0.01,1,10,10,704,6
0.804,0.0001,391,413,25,10,0.998,50,0.01,1,10,10,804,6
0.848,0.0001,448,456,25,10,0.998,50,0.01,1,10,10,904,6
0.884,0.0001,497,507,25,10,0.998,50,0.01,1,10,10,1004,6
0.924,0.0001,550,554,25,10,0.998,50,0.01,1,10,10,1104,6
0.962,0.0001,608,596,25,10,0.998,50,0.01,1,10,10,1204,6
0.98,0.0001,656,648,25,10,0.998,50,0.01,1,10,10,1304,6
0.976,0.0001,700,704,25,10,0.998,50,0.01,1,10,10,1404,6
0.982,0.0001,753,751,25,10,0.998,50,0.01,1,10,10,1504,6
0.982,0.0001,805,799,25,10,0.998,50,0.01,1,10,10,1604,6
0.982,0.0001,852,852,25,10,0.998,50,0.01,1,10,10,1704,6
0.98,0.0001,900,904,25,10,0.998,50,0.01,1,10,10,1804,6
0.98,0.0001,957,947,25,10,0.998,50,0.01,1,10,10,1904,6
0.524,0.0001,0,0,25,10,0.999,50,0.01,1,10,10,0,7
0.576,0.0001,43,61,25,10,0.999,50,0.01,1,10,10,104,7
0.51,0.0001,96,108,25,10,0.999,50,0.01,1,10,10,204,7
0.602,0.0001,146,158,25,10,0.999,50,0.01,1,10,10,304,7
0.63,0.0001,196,208,25,10,0.999,50,0.01,1,10,10,404,7
0.592,0.0001,241,263,25,10,0.999,50,0.01,1,10,10,504,7
0.7,0.0001,299,305,25,10,0.999,50,0.01,1,10,10,604,7
0.76,0.0001,343,361,25,10,0.999,50,0.01,1,10,10,704,7
0.814,0.0001,398,406,25,10,0.999,50,0.01,1,10,10,804,7
0.882,0.0001,459,445,25,10,0.999,50,0.01,1,10,10,904,7
0.918,0.0001,506,498,25,10,0.999,50,0.01,1,10,10,1004,7
0.928,0.0001,560,544,25,10,0.999,50,0.01,1,10,10,1104,7
0.958,0.0001,613,591,25,10,0.999,50,0.01,1,10,10,1204,7
0.954,0.0001,662,642,25,10,0.999,50,0.01,1,10,10,1304,7
0.968,0.0001,709,695,25,10,0.999,50,0.01,1,10,10,1404,7
0.968,0.0001,758,746,25,10,0.999,50,0.01,1,10,10,1504,7
0.972,0.0001,803,801,25,10,0.999,50,0.01,1,10,10,1604,7
0.98,0.0001,840,864,25,10,0.999,50,0.01,1,10,10,1704,7
0.974,0.0001,889,915,25,10,0.999,50,0.01,1,10,10,1804,7
0.98,0.0001,947,957,25,10,0.999,50,0.01,1,10,10,1904,7
