trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos
11,15104,2,2,1e-05,0.0001,0.502,7615
12,15104,2,2,1e-05,0.0001,0.5,7615
13,15104,2,2,1e-05,0.0001,0.504,7475
14,15104,2,2,1e-05,0.0001,0.5,7466
15,15104,2,2,1e-05,0.0001,0.5,7505
16,15104,2,2,1e-05,0.0001,0.5,7575
17,15104,2,2,1e-05,0.0001,0.5,7492
18,15104,2,2,1e-05,0.0001,0.5,7613
19,15104,2,2,1e-05,0.0001,0.5,7555
20,15104,2,2,1e-05,0.0001,0.5,7518
1,20104,2,2,1e-05,0.0001,0.5,10034
2,20104,2,2,1e-05,0.0001,0.5,10052
3,20104,2,2,1e-05,0.0001,0.5,9960
4,20104,2,2,1e-05,0.0001,0.5,10016
5,20104,2,2,1e-05,0.0001,0.5,9972
6,20104,2,2,1e-05,0.0001,0.5,10079
7,20104,2,2,1e-05,0.0001,0.5,9986
8,20104,2,2,1e-05,0.0001,0.5,10046
9,20104,2,2,1e-05,0.0001,0.496,10026
10,20104,2,2,1e-05,0.0001,0.5,10072
11,20104,2,2,1e-05,0.0001,0.5,10076
12,20104,2,2,1e-05,0.0001,0.5,10142
13,20104,2,2,1e-05,0.0001,0.506,9943
14,20104,2,2,1e-05,0.0001,0.5,10006
15,20104,2,2,1e-05,0.0001,0.5,10069
16,20104,2,2,1e-05,0.0001,0.5,10097
17,20104,2,2,1e-05,0.0001,0.5,9964
18,20104,2,2,1e-05,0.0001,0.5,10132
19,20104,2,2,1e-05,0.0001,0.5,10127
20,20104,2,2,1e-05,0.0001,0.5,10074
1,25104,2,2,1e-05,0.0001,0.5,12561
2,25104,2,2,1e-05,0.0001,0.5,12543
3,25104,2,2,1e-05,0.0001,0.5,12469
4,25104,2,2,1e-05,0.0001,0.5,12516
5,25104,2,2,1e-05,0.0001,0.5,12429
6,25104,2,2,1e-05,0.0001,0.5,12582
7,25104,2,2,1e-05,0.0001,0.5,12493
8,25104,2,2,1e-05,0.0001,0.5,12596
9,25104,2,2,1e-05,0.0001,0.49200000000000005,12504
10,25104,2,2,1e-05,0.0001,0.5,12578
11,25104,2,2,1e-05,0.0001,0.5,12646
12,25104,2,2,1e-05,0.0001,0.5,12710
13,25104,2,2,1e-05,0.0001,0.51,12400
14,25104,2,2,1e-05,0.0001,0.5,12585
15,25104,2,2,1e-05,0.0001,0.5,12574
16,25104,2,2,1e-05,0.0001,0.5,12604
17,25104,2,2,1e-05,0.0001,0.5,12502
18,25104,2,2,1e-05,0.0001,0.5,12689
19,25104,2,2,1e-05,0.0001,0.5,12654
20,25104,2,2,1e-05,0.0001,0.5,12556
1,30104,2,2,1e-05,0.0001,0.5,15051
2,30104,2,2,1e-05,0.0001,0.5,15015
3,30104,2,2,1e-05,0.0001,0.5,14970
4,30104,2,2,1e-05,0.0001,0.5,15002
5,30104,2,2,1e-05,0.0001,0.5,14860
6,30104,2,2,1e-05,0.0001,0.5,15145
7,30104,2,2,1e-05,0.0001,0.5,15021
8,30104,2,2,1e-05,0.0001,0.5,15054
9,30104,2,2,1e-05,0.0001,0.494,15003
10,30104,2,2,1e-05,0.0001,0.5,15073
11,30104,2,2,1e-05,0.0001,0.504,15082
12,30104,2,2,1e-05,0.0001,0.5,15237
13,30104,2,2,1e-05,0.0001,0.514,14927
14,30104,2,2,1e-05,0.0001,0.5,15060
15,30104,2,2,1e-05,0.0001,0.5,15017
16,30104,2,2,1e-05,0.0001,0.5,15065
17,30104,2,2,1e-05,0.0001,0.5,15019
18,30104,2,2,1e-05,0.0001,0.5,15223
19,30104,2,2,1e-05,0.0001,0.5,15127
20,30104,2,2,1e-05,0.0001,0.5,15032
1,35104,2,2,1e-05,0.0001,0.5,17581
2,35104,2,2,1e-05,0.0001,0.5,17553
3,35104,2,2,1e-05,0.0001,0.5,17491
4,35104,2,2,1e-05,0.0001,0.5,17528
5,35104,2,2,1e-05,0.0001,0.5,17348
6,35104,2,2,1e-05,0.0001,0.5,17685
7,35104,2,2,1e-05,0.0001,0.5,17515
8,35104,2,2,1e-05,0.0001,0.5,17602
9,35104,2,2,1e-05,0.0001,0.49,17515
10,35104,2,2,1e-05,0.0001,0.5,17522
11,35104,2,2,1e-05,0.0001,0.508,17592
12,35104,2,2,1e-05,0.0001,0.5,17792
13,35104,2,2,1e-05,0.0001,0.528,17499
14,35104,2,2,1e-05,0.0001,0.5,17587
15,35104,2,2,1e-05,0.0001,0.5,17510
16,35104,2,2,1e-05,0.0001,0.5,17616
17,35104,2,2,1e-05,0.0001,0.5,17486
18,35104,2,2,1e-05,0.0001,0.5,17693
19,35104,2,2,1e-05,0.0001,0.5,17636
20,35104,2,2,1e-05,0.0001,0.5,17529
1,40104,2,2,1e-05,0.0001,0.5,20121
2,40104,2,2,1e-05,0.0001,0.5,20032
3,40104,2,2,1e-05,0.0001,0.5,19952
4,40104,2,2,1e-05,0.0001,0.5,19975
5,40104,2,2,1e-05,0.0001,0.5,19863
6,40104,2,2,1e-05,0.0001,0.496,20188
7,40104,2,2,1e-05,0.0001,0.5,20044
8,40104,2,2,1e-05,0.0001,0.5,20069
9,40104,2,2,1e-05,0.0001,0.49200000000000005,19994
10,40104,2,2,1e-05,0.0001,0.5,20038
11,40104,2,2,1e-05,0.0001,0.506,20075
12,40104,2,2,1e-05,0.0001,0.5,20255
13,40104,2,2,1e-05,0.0001,0.524,19981
14,40104,2,2,1e-05,0.0001,0.5,20073
15,40104,2,2,1e-05,0.0001,0.5,20027
16,40104,2,2,1e-05,0.0001,0.5,20082
17,40104,2,2,1e-05,0.0001,0.5,20069
