trial,embed_dim,hidden_dim,alpha,learning_rate,premack_training,equality_accuracy,premack_accuracy
3,2,2,0.001,0.01,280,0.7305,0.533
3,2,2,0.001,0.01,300,0.7305,0.534
3,2,2,0.001,0.01,320,0.7305,0.535
3,2,2,0.001,0.01,340,0.7305,0.538
3,2,2,0.001,0.01,360,0.7305,0.545
3,2,2,0.001,0.01,380,0.7305,0.542
3,2,2,0.001,0.01,400,0.7305,0.542
3,2,2,0.001,0.01,420,0.7305,0.536
3,2,2,0.001,0.01,440,0.7305,0.537
3,2,2,0.001,0.01,460,0.7305,0.535
3,2,2,0.001,0.01,480,0.7305,0.531
3,2,2,0.001,0.01,500,0.7305,0.527
3,2,2,0.001,0.01,520,0.7305,0.527
3,2,2,0.001,0.01,540,0.7305,0.523
3,2,2,0.001,0.01,560,0.7305,0.517
3,2,2,0.001,0.01,580,0.7305,0.515
3,2,2,0.001,0.01,600,0.7305,0.515
3,2,2,0.001,0.01,620,0.7305,0.516
3,2,2,0.001,0.01,640,0.7305,0.515
3,2,2,0.001,0.01,660,0.7305,0.518
3,2,2,0.001,0.01,680,0.7305,0.52
3,2,2,0.001,0.01,700,0.7305,0.521
3,2,2,0.001,0.01,720,0.7305,0.525
3,2,2,0.001,0.01,740,0.7305,0.528
3,2,2,0.001,0.01,760,0.7305,0.53
3,2,2,0.001,0.01,780,0.7305,0.532
3,2,2,0.001,0.01,800,0.7305,0.541
3,2,2,0.001,0.01,820,0.7305,0.537
3,2,2,0.001,0.01,840,0.7305,0.538
3,2,2,0.001,0.01,860,0.7305,0.54
3,2,2,0.001,0.01,880,0.7305,0.544
3,2,2,0.001,0.01,900,0.7305,0.544
3,2,2,0.001,0.01,920,0.7305,0.541
3,2,2,0.001,0.01,940,0.7305,0.541
3,2,2,0.001,0.01,960,0.7305,0.54
3,2,2,0.001,0.01,980,0.7305,0.543
4,2,2,0.001,0.01,0,0.706,0.497
4,2,2,0.001,0.01,20,0.706,0.5
4,2,2,0.001,0.01,40,0.706,0.5
4,2,2,0.001,0.01,60,0.706,0.502
4,2,2,0.001,0.01,80,0.706,0.509
4,2,2,0.001,0.01,100,0.706,0.515
4,2,2,0.001,0.01,120,0.706,0.518
4,2,2,0.001,0.01,140,0.706,0.517
4,2,2,0.001,0.01,160,0.706,0.52
4,2,2,0.001,0.01,180,0.706,0.519
4,2,2,0.001,0.01,200,0.706,0.521
4,2,2,0.001,0.01,220,0.706,0.519
4,2,2,0.001,0.01,240,0.706,0.521
4,2,2,0.001,0.01,260,0.706,0.522
4,2,2,0.001,0.01,280,0.706,0.519
4,2,2,0.001,0.01,300,0.706,0.52
4,2,2,0.001,0.01,320,0.706,0.521
4,2,2,0.001,0.01,340,0.706,0.526
4,2,2,0.001,0.01,360,0.706,0.526
4,2,2,0.001,0.01,380,0.706,0.526
4,2,2,0.001,0.01,400,0.706,0.526
4,2,2,0.001,0.01,420,0.706,0.526
4,2,2,0.001,0.01,440,0.706,0.526
4,2,2,0.001,0.01,460,0.706,0.526
4,2,2,0.001,0.01,480,0.706,0.525
4,2,2,0.001,0.01,500,0.706,0.521
4,2,2,0.001,0.01,520,0.706,0.524
4,2,2,0.001,0.01,540,0.706,0.526
4,2,2,0.001,0.01,560,0.706,0.524
4,2,2,0.001,0.01,580,0.706,0.523
4,2,2,0.001,0.01,600,0.706,0.523
4,2,2,0.001,0.01,620,0.706,0.523
4,2,2,0.001,0.01,640,0.706,0.523
4,2,2,0.001,0.01,660,0.706,0.521
4,2,2,0.001,0.01,680,0.706,0.519
4,2,2,0.001,0.01,700,0.706,0.519
4,2,2,0.001,0.01,720,0.706,0.518
4,2,2,0.001,0.01,740,0.706,0.517
4,2,2,0.001,0.01,760,0.706,0.517
4,2,2,0.001,0.01,780,0.706,0.518
4,2,2,0.001,0.01,800,0.706,0.517
4,2,2,0.001,0.01,820,0.706,0.517
4,2,2,0.001,0.01,840,0.706,0.516
4,2,2,0.001,0.01,860,0.706,0.517
4,2,2,0.001,0.01,880,0.706,0.517
4,2,2,0.001,0.01,900,0.706,0.517
4,2,2,0.001,0.01,920,0.706,0.517
4,2,2,0.001,0.01,940,0.706,0.517
4,2,2,0.001,0.01,960,0.706,0.517
4,2,2,0.001,0.01,980,0.706,0.517
5,2,2,0.001,0.01,0,0.724,0.537
5,2,2,0.001,0.01,20,0.724,0.536
5,2,2,0.001,0.01,40,0.724,0.534
5,2,2,0.001,0.01,60,0.724,0.535
5,2,2,0.001,0.01,80,0.724,0.535
5,2,2,0.001,0.01,100,0.724,0.537
5,2,2,0.001,0.01,120,0.724,0.533
5,2,2,0.001,0.01,140,0.724,0.528
5,2,2,0.001,0.01,160,0.724,0.527
5,2,2,0.001,0.01,180,0.724,0.527
5,2,2,0.001,0.01,200,0.724,0.527
5,2,2,0.001,0.01,220,0.724,0.528
5,2,2,0.001,0.01,240,0.724,0.523
5,2,2,0.001,0.01,260,0.724,0.518
5,2,2,0.001,0.01,280,0.724,0.518
5,2,2,0.001,0.01,300,0.724,0.518
5,2,2,0.001,0.01,320,0.724,0.515
5,2,2,0.001,0.01,340,0.724,0.51
5,2,2,0.001,0.01,360,0.724,0.508
5,2,2,0.001,0.01,380,0.724,0.504
5,2,2,0.001,0.01,400,0.724,0.502
5,2,2,0.001,0.01,420,0.724,0.503
5,2,2,0.001,0.01,440,0.724,0.502
5,2,2,0.001,0.01,460,0.724,0.504
5,2,2,0.001,0.01,480,0.724,0.504
5,2,2,0.001,0.01,500,0.724,0.505
5,2,2,0.001,0.01,520,0.724,0.504
5,2,2,0.001,0.01,540,0.724,0.503
5,2,2,0.001,0.01,560,0.724,0.505
5,2,2,0.001,0.01,580,0.724,0.504
5,2,2,0.001,0.01,600,0.724,0.503
5,2,2,0.001,0.01,620,0.724,0.501
5,2,2,0.001,0.01,640,0.724,0.502
5,2,2,0.001,0.01,660,0.724,0.502
5,2,2,0.001,0.01,680,0.724,0.503
5,2,2,0.001,0.01,700,0.724,0.501
5,2,2,0.001,0.01,720,0.724,0.5
5,2,2,0.001,0.01,740,0.724,0.5
5,2,2,0.001,0.01,760,0.724,0.501
5,2,2,0.001,0.01,780,0.724,0.501
5,2,2,0.001,0.01,800,0.724,0.501
5,2,2,0.001,0.01,820,0.724,0.501
5,2,2,0.001,0.01,840,0.724,0.5
