trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos
10,15104,2,2,1e-05,0.0001,0.5,7546
11,15104,2,2,1e-05,0.0001,0.5,7541
12,15104,2,2,1e-05,0.0001,0.5,7634
13,15104,2,2,1e-05,0.0001,0.5,7534
14,15104,2,2,1e-05,0.0001,0.5,7577
15,15104,2,2,1e-05,0.0001,0.5,7530
16,15104,2,2,1e-05,0.0001,0.5,7536
17,15104,2,2,1e-05,0.0001,0.5,7556
18,15104,2,2,1e-05,0.0001,0.5,7508
19,15104,2,2,1e-05,0.0001,0.504,7568
20,15104,2,2,1e-05,0.0001,0.466,7552
1,20104,2,2,1e-05,0.0001,0.5,10063
2,20104,2,2,1e-05,0.0001,0.5,10038
3,20104,2,2,1e-05,0.0001,0.5,10068
4,20104,2,2,1e-05,0.0001,0.5,9946
5,20104,2,2,1e-05,0.0001,0.504,10029
6,20104,2,2,1e-05,0.0001,0.5,10014
7,20104,2,2,1e-05,0.0001,0.502,10083
8,20104,2,2,1e-05,0.0001,0.5,10078
9,20104,2,2,1e-05,0.0001,0.518,9972
10,20104,2,2,1e-05,0.0001,0.5,10042
11,20104,2,2,1e-05,0.0001,0.5,10005
12,20104,2,2,1e-05,0.0001,0.5,10113
13,20104,2,2,1e-05,0.0001,0.5,10010
14,20104,2,2,1e-05,0.0001,0.5,10132
15,20104,2,2,1e-05,0.0001,0.5,10004
16,20104,2,2,1e-05,0.0001,0.5,10047
17,20104,2,2,1e-05,0.0001,0.502,10131
18,20104,2,2,1e-05,0.0001,0.5,10005
19,20104,2,2,1e-05,0.0001,0.51,10086
20,20104,2,2,1e-05,0.0001,0.466,10130
1,25104,2,2,1e-05,0.0001,0.5,12605
2,25104,2,2,1e-05,0.0001,0.5,12562
3,25104,2,2,1e-05,0.0001,0.5,12532
4,25104,2,2,1e-05,0.0001,0.5,12434
5,25104,2,2,1e-05,0.0001,0.498,12517
6,25104,2,2,1e-05,0.0001,0.502,12568
7,25104,2,2,1e-05,0.0001,0.494,12663
8,25104,2,2,1e-05,0.0001,0.5,12571
9,25104,2,2,1e-05,0.0001,0.514,12412
10,25104,2,2,1e-05,0.0001,0.5,12579
11,25104,2,2,1e-05,0.0001,0.5,12597
12,25104,2,2,1e-05,0.0001,0.5,12650
13,25104,2,2,1e-05,0.0001,0.5,12437
14,25104,2,2,1e-05,0.0001,0.5,12663
15,25104,2,2,1e-05,0.0001,0.5,12512
16,25104,2,2,1e-05,0.0001,0.5,12541
17,25104,2,2,1e-05,0.0001,0.504,12581
18,25104,2,2,1e-05,0.0001,0.5,12520
19,25104,2,2,1e-05,0.0001,0.514,12544
20,25104,2,2,1e-05,0.0001,0.46799999999999997,12690
1,30104,2,2,1e-05,0.0001,0.5,15059
2,30104,2,2,1e-05,0.0001,0.5,15067
3,30104,2,2,1e-05,0.0001,0.5,15126
4,30104,2,2,1e-05,0.0001,0.5,14965
5,30104,2,2,1e-05,0.0001,0.496,14977
6,30104,2,2,1e-05,0.0001,0.506,15057
7,30104,2,2,1e-05,0.0001,0.494,15132
8,30104,2,2,1e-05,0.0001,0.5,15074
9,30104,2,2,1e-05,0.0001,0.514,14897
10,30104,2,2,1e-05,0.0001,0.5,15126
11,30104,2,2,1e-05,0.0001,0.5,15136
12,30104,2,2,1e-05,0.0001,0.502,15149
13,30104,2,2,1e-05,0.0001,0.5,14942
14,30104,2,2,1e-05,0.0001,0.5,15203
15,30104,2,2,1e-05,0.0001,0.5,15072
16,30104,2,2,1e-05,0.0001,0.5,15069
17,30104,2,2,1e-05,0.0001,0.504,15067
18,30104,2,2,1e-05,0.0001,0.5,15036
19,30104,2,2,1e-05,0.0001,0.514,15097
20,30104,2,2,1e-05,0.0001,0.47200000000000003,15167
1,35104,2,2,1e-05,0.0001,0.5,17551
2,35104,2,2,1e-05,0.0001,0.5,17629
3,35104,2,2,1e-05,0.0001,0.5,17661
4,35104,2,2,1e-05,0.0001,0.5,17472
5,35104,2,2,1e-05,0.0001,0.488,17494
6,35104,2,2,1e-05,0.0001,0.524,17564
7,35104,2,2,1e-05,0.0001,0.49,17660
8,35104,2,2,1e-05,0.0001,0.5,17561
9,35104,2,2,1e-05,0.0001,0.514,17366
10,35104,2,2,1e-05,0.0001,0.5,17665
11,35104,2,2,1e-05,0.0001,0.5,17593
12,35104,2,2,1e-05,0.0001,0.502,17581
13,35104,2,2,1e-05,0.0001,0.5,17516
14,35104,2,2,1e-05,0.0001,0.5,17656
15,35104,2,2,1e-05,0.0001,0.51,17534
16,35104,2,2,1e-05,0.0001,0.5,17613
17,35104,2,2,1e-05,0.0001,0.5,17536
18,35104,2,2,1e-05,0.0001,0.5,17571
19,35104,2,2,1e-05,0.0001,0.508,17616
20,35104,2,2,1e-05,0.0001,0.474,17662
1,40104,2,2,1e-05,0.0001,0.5,20047
2,40104,2,2,1e-05,0.0001,0.5,20166
3,40104,2,2,1e-05,0.0001,0.5,20222
4,40104,2,2,1e-05,0.0001,0.5,20047
5,40104,2,2,1e-05,0.0001,0.484,19954
6,40104,2,2,1e-05,0.0001,0.5479999999999999,20041
7,40104,2,2,1e-05,0.0001,0.49,20181
8,40104,2,2,1e-05,0.0001,0.5,20036
9,40104,2,2,1e-05,0.0001,0.514,19916
10,40104,2,2,1e-05,0.0001,0.5,20175
11,40104,2,2,1e-05,0.0001,0.5,20130
12,40104,2,2,1e-05,0.0001,0.53,20119
13,40104,2,2,1e-05,0.0001,0.5,20020
14,40104,2,2,1e-05,0.0001,0.5,20165
15,40104,2,2,1e-05,0.0001,0.504,20035
16,40104,2,2,1e-05,0.0001,0.5,20139
17,40104,2,2,1e-05,0.0001,0.5,20021
18,40104,2,2,1e-05,0.0001,0.5,20085
19,40104,2,2,1e-05,0.0001,0.508,20055
20,40104,2,2,1e-05,0.0001,0.47200000000000003,20191
1,45104,2,2,1e-05,0.0001,0.5,22549
2,45104,2,2,1e-05,0.0001,0.5,22664
3,45104,2,2,1e-05,0.0001,0.5,22744
4,45104,2,2,1e-05,0.0001,0.5,22573
5,45104,2,2,1e-05,0.0001,0.488,22496
6,45104,2,2,1e-05,0.0001,0.552,22543
7,45104,2,2,1e-05,0.0001,0.488,22644
8,45104,2,2,1e-05,0.0001,0.5,22525
9,45104,2,2,1e-05,0.0001,0.514,22402
10,45104,2,2,1e-05,0.0001,0.5,22637
11,45104,2,2,1e-05,0.0001,0.5,22631
12,45104,2,2,1e-05,0.0001,0.51,22640
13,45104,2,2,1e-05,0.0001,0.5,22553
14,45104,2,2,1e-05,0.0001,0.5,22681
15,45104,2,2,1e-05,0.0001,0.506,22617
16,45104,2,2,1e-05,0.0001,0.5,22620
17,45104,2,2,1e-05,0.0001,0.504,22525
18,45104,2,2,1e-05,0.0001,0.5,22622
19,45104,2,2,1e-05,0.0001,0.514,22563
20,45104,2,2,1e-05,0.0001,0.47,22663
1,50104,2,2,1e-05,0.0001,0.5,25002
2,50104,2,2,1e-05,0.0001,0.5,25118
3,50104,2,2,1e-05,0.0001,0.5,25223
4,50104,2,2,1e-05,0.0001,0.5,25043
5,50104,2,2,1e-05,0.0001,0.504,25027
6,50104,2,2,1e-05,0.0001,0.56,25016
7,50104,2,2,1e-05,0.0001,0.486,25196
8,50104,2,2,1e-05,0.0001,0.5,25021
9,50104,2,2,1e-05,0.0001,0.512,24851
10,50104,2,2,1e-05,0.0001,0.5,25111
11,50104,2,2,1e-05,0.0001,0.5,25137
12,50104,2,2,1e-05,0.0001,0.49,25175
13,50104,2,2,1e-05,0.0001,0.5,25051
14,50104,2,2,1e-05,0.0001,0.5,25127
15,50104,2,2,1e-05,0.0001,0.508,25099
16,50104,2,2,1e-05,0.0001,0.5,25108
17,50104,2,2,1e-05,0.0001,0.504,24984
18,50104,2,2,1e-05,0.0001,0.5,25185
19,50104,2,2,1e-05,0.0001,0.512,25063
20,50104,2,2,1e-05,0.0001,0.47200000000000003,25188
1,55104,2,2,1e-05,0.0001,0.5,27457
2,55104,2,2,1e-05,0.0001,0.5,27614
3,55104,2,2,1e-05,0.0001,0.5,27704
4,55104,2,2,1e-05,0.0001,0.5,27495
5,55104,2,2,1e-05,0.0001,0.5,27572
6,55104,2,2,1e-05,0.0001,0.586,27568
7,55104,2,2,1e-05,0.0001,0.48200000000000004,27661
8,55104,2,2,1e-05,0.0001,0.5,27584
9,55104,2,2,1e-05,0.0001,0.512,27406
10,55104,2,2,1e-05,0.0001,0.498,27587
11,55104,2,2,1e-05,0.0001,0.5,27648
12,55104,2,2,1e-05,0.0001,0.504,27656
13,55104,2,2,1e-05,0.0001,0.5,27593
14,55104,2,2,1e-05,0.0001,0.5,27640
15,55104,2,2,1e-05,0.0001,0.518,27647
16,55104,2,2,1e-05,0.0001,0.5,27595
17,55104,2,2,1e-05,0.0001,0.498,27480
18,55104,2,2,1e-05,0.0001,0.504,27653
19,55104,2,2,1e-05,0.0001,0.518,27567
20,55104,2,2,1e-05,0.0001,0.474,27641
1,60104,2,2,1e-05,0.0001,0.5,29934
2,60104,2,2,1e-05,0.0001,0.5,30131
3,60104,2,2,1e-05,0.0001,0.506,30176
