trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos
9,15104,2,2,1e-05,0.0001,0.5,7504
10,15104,2,2,1e-05,0.0001,0.5,7522
11,15104,2,2,1e-05,0.0001,0.49,7534
12,15104,2,2,1e-05,0.0001,0.5,7570
13,15104,2,2,1e-05,0.0001,0.5,7528
14,15104,2,2,1e-05,0.0001,0.5,7490
15,15104,2,2,1e-05,0.0001,0.5,7487
16,15104,2,2,1e-05,0.0001,0.5,7556
17,15104,2,2,1e-05,0.0001,0.5,7514
18,15104,2,2,1e-05,0.0001,0.5,7543
19,15104,2,2,1e-05,0.0001,0.5,7600
20,15104,2,2,1e-05,0.0001,0.54,7530
1,20104,2,2,1e-05,0.0001,0.48,10052
2,20104,2,2,1e-05,0.0001,0.5,9999
3,20104,2,2,1e-05,0.0001,0.48200000000000004,10019
4,20104,2,2,1e-05,0.0001,0.5,10054
5,20104,2,2,1e-05,0.0001,0.512,10106
6,20104,2,2,1e-05,0.0001,0.5,10018
7,20104,2,2,1e-05,0.0001,0.5,10126
8,20104,2,2,1e-05,0.0001,0.5,10111
9,20104,2,2,1e-05,0.0001,0.5,10003
10,20104,2,2,1e-05,0.0001,0.5,10055
11,20104,2,2,1e-05,0.0001,0.49,10031
12,20104,2,2,1e-05,0.0001,0.5,10132
13,20104,2,2,1e-05,0.0001,0.5,10001
14,20104,2,2,1e-05,0.0001,0.5,10014
15,20104,2,2,1e-05,0.0001,0.5,10026
16,20104,2,2,1e-05,0.0001,0.5,10134
17,20104,2,2,1e-05,0.0001,0.5,10017
18,20104,2,2,1e-05,0.0001,0.5,10078
19,20104,2,2,1e-05,0.0001,0.5,10064
20,20104,2,2,1e-05,0.0001,0.5479999999999999,10066
1,25104,2,2,1e-05,0.0001,0.48200000000000004,12521
2,25104,2,2,1e-05,0.0001,0.5,12500
3,25104,2,2,1e-05,0.0001,0.47,12462
4,25104,2,2,1e-05,0.0001,0.5,12590
