trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos,batch_neg
1,104,10,100,1e-05,0.01,0.504,52,52
1,204,10,100,1e-05,0.01,0.512,98,106
1,304,10,100,1e-05,0.01,0.5,146,158
1,404,10,100,1e-05,0.01,0.496,207,197
1,504,10,100,1e-05,0.01,0.502,256,248
1,604,10,100,1e-05,0.01,0.52,303,301
1,704,10,100,1e-05,0.01,0.532,354,350
1,804,10,100,1e-05,0.01,0.526,401,403
1,904,10,100,1e-05,0.01,0.54,448,456
1,1004,10,100,1e-05,0.01,0.528,499,505
1,1104,10,100,1e-05,0.01,0.494,544,560
1,1204,10,100,1e-05,0.01,0.502,594,610
1,1304,10,100,1e-05,0.01,0.518,637,667
1,1404,10,100,1e-05,0.01,0.534,686,718
1,1504,10,100,1e-05,0.01,0.51,733,771
1,1604,10,100,1e-05,0.01,0.498,778,826
1,1704,10,100,1e-05,0.01,0.502,830,874
1,1804,10,100,1e-05,0.01,0.536,877,927
1,1904,10,100,1e-05,0.01,0.53,929,975
1,2004,10,100,1e-05,0.01,0.524,973,1031
1,2104,10,100,1e-05,0.01,0.502,1022,1082
1,2204,10,100,1e-05,0.01,0.502,1064,1140
1,2304,10,100,1e-05,0.01,0.526,1113,1191
1,2404,10,100,1e-05,0.01,0.55,1168,1236
1,2504,10,100,1e-05,0.01,0.54,1229,1275
1,2604,10,100,1e-05,0.01,0.502,1271,1333
1,2704,10,100,1e-05,0.01,0.506,1312,1392
1,2804,10,100,1e-05,0.01,0.49,1364,1440
1,2904,10,100,1e-05,0.01,0.512,1413,1491
1,3004,10,100,1e-05,0.01,0.516,1463,1541
1,3104,10,100,1e-05,0.01,0.51,1523,1581
1,3204,10,100,1e-05,0.01,0.502,1580,1624
1,3304,10,100,1e-05,0.01,0.534,1633,1671
1,3404,10,100,1e-05,0.01,0.516,1683,1721
1,3504,10,100,1e-05,0.01,0.486,1734,1770
1,3604,10,100,1e-05,0.01,0.506,1792,1812
1,3704,10,100,1e-05,0.01,0.506,1836,1868
1,3804,10,100,1e-05,0.01,0.48,1889,1915
1,3904,10,100,1e-05,0.01,0.52,1946,1958
1,4004,10,100,1e-05,0.01,0.494,1992,2012
1,4104,10,100,1e-05,0.01,0.518,2046,2058
1,4204,10,100,1e-05,0.01,0.49,2092,2112
1,4304,10,100,1e-05,0.01,0.506,2142,2162
1,4404,10,100,1e-05,0.01,0.488,2188,2216
1,4504,10,100,1e-05,0.01,0.51,2240,2264
1,4604,10,100,1e-05,0.01,0.5,2299,2305
1,4704,10,100,1e-05,0.01,0.494,2346,2358
1,4804,10,100,1e-05,0.01,0.504,2396,2408
1,4904,10,100,1e-05,0.01,0.514,2442,2462
1,5004,10,100,1e-05,0.01,0.512,2491,2513
1,5104,10,100,1e-05,0.01,0.504,2542,2562
1,5204,10,100,1e-05,0.01,0.544,2594,2610
1,5304,10,100,1e-05,0.01,0.512,2649,2655
1,5404,10,100,1e-05,0.01,0.534,2703,2701
1,5504,10,100,1e-05,0.01,0.538,2754,2750
1,5604,10,100,1e-05,0.01,0.532,2795,2809
1,5704,10,100,1e-05,0.01,0.534,2848,2856
1,5804,10,100,1e-05,0.01,0.536,2891,2913
1,5904,10,100,1e-05,0.01,0.55,2943,2961
1,6004,10,100,1e-05,0.01,0.576,2993,3011
1,6104,10,100,1e-05,0.01,0.554,3036,3068
1,6204,10,100,1e-05,0.01,0.58,3081,3123
1,6304,10,100,1e-05,0.01,0.546,3136,3168
1,6404,10,100,1e-05,0.01,0.584,3189,3215
1,6504,10,100,1e-05,0.01,0.576,3240,3264
1,6604,10,100,1e-05,0.01,0.588,3284,3320
1,6704,10,100,1e-05,0.01,0.61,3342,3362
1,6804,10,100,1e-05,0.01,0.602,3395,3409
1,6904,10,100,1e-05,0.01,0.606,3444,3460
1,7004,10,100,1e-05,0.01,0.628,3497,3507
1,7104,10,100,1e-05,0.01,0.646,3548,3556
1,7204,10,100,1e-05,0.01,0.622,3595,3609
1,7304,10,100,1e-05,0.01,0.618,3651,3653
1,7404,10,100,1e-05,0.01,0.666,3708,3696
1,7504,10,100,1e-05,0.01,0.64,3757,3747
1,7604,10,100,1e-05,0.01,0.626,3805,3799
1,7704,10,100,1e-05,0.01,0.632,3854,3850
1,7804,10,100,1e-05,0.01,0.644,3900,3904
1,7904,10,100,1e-05,0.01,0.684,3956,3948
1,8004,10,100,1e-05,0.01,0.656,4006,3998
1,8104,10,100,1e-05,0.01,0.682,4063,4041
1,8204,10,100,1e-05,0.01,0.698,4108,4096
1,8304,10,100,1e-05,0.01,0.712,4152,4152
1,8404,10,100,1e-05,0.01,0.7,4202,4202
1,8504,10,100,1e-05,0.01,0.718,4254,4250
1,8604,10,100,1e-05,0.01,0.712,4298,4306
1,8704,10,100,1e-05,0.01,0.692,4354,4350
1,8804,10,100,1e-05,0.01,0.738,4401,4403
1,8904,10,100,1e-05,0.01,0.708,4444,4460
1,9004,10,100,1e-05,0.01,0.754,4489,4515
1,9104,10,100,1e-05,0.01,0.75,4532,4572
1,9204,10,100,1e-05,0.01,0.732,4583,4621
1,9304,10,100,1e-05,0.01,0.752,4627,4677
1,9404,10,100,1e-05,0.01,0.728,4675,4729
1,9504,10,100,1e-05,0.01,0.756,4724,4780
1,9604,10,100,1e-05,0.01,0.742,4776,4828
1,9704,10,100,1e-05,0.01,0.752,4829,4875
1,9804,10,100,1e-05,0.01,0.768,4888,4916
1,9904,10,100,1e-05,0.01,0.764,4938,4966
1,10004,10,100,1e-05,0.01,0.772,4990,5014
1,10104,10,100,1e-05,0.01,0.73,5048,5056
1,10204,10,100,1e-05,0.01,0.79,5105,5099
1,10304,10,100,1e-05,0.01,0.762,5155,5149
1,10404,10,100,1e-05,0.01,0.784,5206,5198
1,10504,10,100,1e-05,0.01,0.798,5263,5241
1,10604,10,100,1e-05,0.01,0.772,5319,5285
1,10704,10,100,1e-05,0.01,0.796,5368,5336
1,10804,10,100,1e-05,0.01,0.81,5414,5390
1,10904,10,100,1e-05,0.01,0.798,5464,5440
1,11004,10,100,1e-05,0.01,0.788,5513,5491
1,11104,10,100,1e-05,0.01,0.812,5564,5540
1,11204,10,100,1e-05,0.01,0.818,5607,5597
1,11304,10,100,1e-05,0.01,0.834,5655,5649
1,11404,10,100,1e-05,0.01,0.816,5706,5698
1,11504,10,100,1e-05,0.01,0.806,5749,5755
1,11604,10,100,1e-05,0.01,0.832,5792,5812
1,11704,10,100,1e-05,0.01,0.806,5842,5862
1,11804,10,100,1e-05,0.01,0.824,5899,5905
1,11904,10,100,1e-05,0.01,0.824,5945,5959
1,12004,10,100,1e-05,0.01,0.82,5996,6008
1,12104,10,100,1e-05,0.01,0.816,6044,6060
1,12204,10,100,1e-05,0.01,0.842,6094,6110
1,12304,10,100,1e-05,0.01,0.856,6141,6163
1,12404,10,100,1e-05,0.01,0.842,6186,6218
1,12504,10,100,1e-05,0.01,0.88,6232,6272
1,12604,10,100,1e-05,0.01,0.876,6285,6319
1,12704,10,100,1e-05,0.01,0.89,6334,6370
1,12804,10,100,1e-05,0.01,0.908,6393,6411
1,12904,10,100,1e-05,0.01,0.882,6436,6468
1,13004,10,100,1e-05,0.01,0.86,6487,6517
1,13104,10,100,1e-05,0.01,0.896,6535,6569
1,13204,10,100,1e-05,0.01,0.898,6576,6628
1,13304,10,100,1e-05,0.01,0.922,6631,6673
1,13404,10,100,1e-05,0.01,0.914,6682,6722
1,13504,10,100,1e-05,0.01,0.926,6734,6770
1,13604,10,100,1e-05,0.01,0.93,6797,6807
1,13704,10,100,1e-05,0.01,0.95,6836,6868
1,13804,10,100,1e-05,0.01,0.942,6884,6920
1,13904,10,100,1e-05,0.01,0.936,6930,6974
1,14004,10,100,1e-05,0.01,0.91,6988,7016
1,14104,10,100,1e-05,0.01,0.928,7040,7064
1,14204,10,100,1e-05,0.01,0.942,7090,7114
1,14304,10,100,1e-05,0.01,0.948,7132,7172
1,14404,10,100,1e-05,0.01,0.942,7183,7221
1,14504,10,100,1e-05,0.01,0.934,7238,7266
1,14604,10,100,1e-05,0.01,0.936,7291,7313
1,14704,10,100,1e-05,0.01,0.954,7339,7365
1,14804,10,100,1e-05,0.01,0.952,7397,7407
1,14904,10,100,1e-05,0.01,0.958,7445,7459
1,15004,10,100,1e-05,0.01,0.966,7501,7503
2,104,10,100,1e-05,0.01,0.508,67,37
2,204,10,100,1e-05,0.01,0.51,116,88
2,304,10,100,1e-05,0.01,0.538,159,145
2,404,10,100,1e-05,0.01,0.496,205,199
