accuracy,alpha,batch_neg,batch_pos,embed_dim,equality_pretrain_max_iter,equality_pretraining_accuracy,hidden_dim,learning_rate,max_equality_pretraining_trials,rep_pretrain_max_iter,rep_pretrain_tasks,train_size,trial
0.526,0.0001,0,0,25,10,0.991,50,0.01,1,10,3,0,1
0.582,0.0001,54,50,25,10,0.991,50,0.01,1,10,3,104,1
0.534,0.0001,105,99,25,10,0.991,50,0.01,1,10,3,204,1
0.656,0.0001,157,147,25,10,0.991,50,0.01,1,10,3,304,1
0.63,0.0001,212,192,25,10,0.991,50,0.01,1,10,3,404,1
0.63,0.0001,261,243,25,10,0.991,50,0.01,1,10,3,504,1
0.63,0.0001,312,292,25,10,0.991,50,0.01,1,10,3,604,1
0.692,0.0001,355,349,25,10,0.991,50,0.01,1,10,3,704,1
0.692,0.0001,396,408,25,10,0.991,50,0.01,1,10,3,804,1
0.74,0.0001,454,450,25,10,0.991,50,0.01,1,10,3,904,1
0.79,0.0001,497,507,25,10,0.991,50,0.01,1,10,3,1004,1
0.836,0.0001,552,552,25,10,0.991,50,0.01,1,10,3,1104,1
0.872,0.0001,600,604,25,10,0.991,50,0.01,1,10,3,1204,1
0.924,0.0001,653,651,25,10,0.991,50,0.01,1,10,3,1304,1
0.934,0.0001,700,704,25,10,0.991,50,0.01,1,10,3,1404,1
0.946,0.0001,756,748,25,10,0.991,50,0.01,1,10,3,1504,1
0.96,0.0001,802,802,25,10,0.991,50,0.01,1,10,3,1604,1
0.968,0.0001,846,858,25,10,0.991,50,0.01,1,10,3,1704,1
0.964,0.0001,897,907,25,10,0.991,50,0.01,1,10,3,1804,1
0.97,0.0001,946,958,25,10,0.991,50,0.01,1,10,3,1904,1
0.512,0.0001,0,0,25,10,0.995,50,0.01,1,10,3,0,2
0.648,0.0001,52,52,25,10,0.995,50,0.01,1,10,3,104,2
0.612,0.0001,100,104,25,10,0.995,50,0.01,1,10,3,204,2
0.72,0.0001,147,157,25,10,0.995,50,0.01,1,10,3,304,2
0.684,0.0001,198,206,25,10,0.995,50,0.01,1,10,3,404,2
0.77,0.0001,256,248,25,10,0.995,50,0.01,1,10,3,504,2
0.786,0.0001,301,303,25,10,0.995,50,0.01,1,10,3,604,2
0.806,0.0001,350,354,25,10,0.995,50,0.01,1,10,3,704,2
0.84,0.0001,394,410,25,10,0.995,50,0.01,1,10,3,804,2
0.872,0.0001,446,458,25,10,0.995,50,0.01,1,10,3,904,2
0.894,0.0001,492,512,25,10,0.995,50,0.01,1,10,3,1004,2
0.902,0.0001,552,552,25,10,0.995,50,0.01,1,10,3,1104,2
0.934,0.0001,612,592,25,10,0.995,50,0.01,1,10,3,1204,2
0.942,0.0001,659,645,25,10,0.995,50,0.01,1,10,3,1304,2
0.942,0.0001,717,687,25,10,0.995,50,0.01,1,10,3,1404,2
0.942,0.0001,767,737,25,10,0.995,50,0.01,1,10,3,1504,2
0.948,0.0001,817,787,25,10,0.995,50,0.01,1,10,3,1604,2
0.952,0.0001,861,843,25,10,0.995,50,0.01,1,10,3,1704,2
0.954,0.0001,913,891,25,10,0.995,50,0.01,1,10,3,1804,2
0.952,0.0001,963,941,25,10,0.995,50,0.01,1,10,3,1904,2
0.572,0.0001,0,0,25,10,0.995,50,0.01,1,10,3,0,3
0.606,0.0001,48,56,25,10,0.995,50,0.01,1,10,3,104,3
0.508,0.0001,99,105,25,10,0.995,50,0.01,1,10,3,204,3
0.586,0.0001,139,165,25,10,0.995,50,0.01,1,10,3,304,3
0.654,0.0001,183,221,25,10,0.995,50,0.01,1,10,3,404,3
0.712,0.0001,230,274,25,10,0.995,50,0.01,1,10,3,504,3
0.636,0.0001,273,331,25,10,0.995,50,0.01,1,10,3,604,3
0.708,0.0001,329,375,25,10,0.995,50,0.01,1,10,3,704,3
0.764,0.0001,382,422,25,10,0.995,50,0.01,1,10,3,804,3
0.796,0.0001,425,479,25,10,0.995,50,0.01,1,10,3,904,3
0.844,0.0001,483,521,25,10,0.995,50,0.01,1,10,3,1004,3
0.882,0.0001,540,564,25,10,0.995,50,0.01,1,10,3,1104,3
0.9,0.0001,585,619,25,10,0.995,50,0.01,1,10,3,1204,3
0.906,0.0001,635,669,25,10,0.995,50,0.01,1,10,3,1304,3
0.92,0.0001,687,717,25,10,0.995,50,0.01,1,10,3,1404,3
0.934,0.0001,737,767,25,10,0.995,50,0.01,1,10,3,1504,3
0.936,0.0001,785,819,25,10,0.995,50,0.01,1,10,3,1604,3
0.942,0.0001,833,871,25,10,0.995,50,0.01,1,10,3,1704,3
0.944,0.0001,881,923,25,10,0.995,50,0.01,1,10,3,1804,3
0.944,0.0001,927,977,25,10,0.995,50,0.01,1,10,3,1904,3
0.53,0.0001,0,0,25,10,0.993,50,0.01,1,10,3,0,4
0.554,0.0001,52,52,25,10,0.993,50,0.01,1,10,3,104,4
0.488,0.0001,96,108,25,10,0.993,50,0.01,1,10,3,204,4
0.556,0.0001,148,156,25,10,0.993,50,0.01,1,10,3,304,4
0.58,0.0001,200,204,25,10,0.993,50,0.01,1,10,3,404,4
0.606,0.0001,257,247,25,10,0.993,50,0.01,1,10,3,504,4
0.668,0.0001,304,300,25,10,0.993,50,0.01,1,10,3,604,4
0.706,0.0001,353,351,25,10,0.993,50,0.01,1,10,3,704,4
