accuracy,alpha,batch_neg,batch_pos,embed_dim,equality_pretrain_max_iter,equality_pretraining_accuracy,hidden_dim,learning_rate,max_equality_pretraining_trials,rep_pretrain_max_iter,rep_pretrain_tasks,train_size,trial
0.52,0.0001,0,0,25,10,0.994,50,0.01,1,10,5,0,1
0.59,0.0001,57,47,25,10,0.994,50,0.01,1,10,5,104,1
0.518,0.0001,104,100,25,10,0.994,50,0.01,1,10,5,204,1
0.626,0.0001,149,155,25,10,0.994,50,0.01,1,10,5,304,1
0.656,0.0001,192,212,25,10,0.994,50,0.01,1,10,5,404,1
0.628,0.0001,237,267,25,10,0.994,50,0.01,1,10,5,504,1
0.724,0.0001,284,320,25,10,0.994,50,0.01,1,10,5,604,1
0.72,0.0001,337,367,25,10,0.994,50,0.01,1,10,5,704,1
0.742,0.0001,386,418,25,10,0.994,50,0.01,1,10,5,804,1
0.776,0.0001,437,467,25,10,0.994,50,0.01,1,10,5,904,1
0.818,0.0001,497,507,25,10,0.994,50,0.01,1,10,5,1004,1
0.854,0.0001,540,564,25,10,0.994,50,0.01,1,10,5,1104,1
0.878,0.0001,586,618,25,10,0.994,50,0.01,1,10,5,1204,1
0.914,0.0001,639,665,25,10,0.994,50,0.01,1,10,5,1304,1
0.932,0.0001,693,711,25,10,0.994,50,0.01,1,10,5,1404,1
0.946,0.0001,745,759,25,10,0.994,50,0.01,1,10,5,1504,1
0.946,0.0001,788,816,25,10,0.994,50,0.01,1,10,5,1604,1
0.954,0.0001,838,866,25,10,0.994,50,0.01,1,10,5,1704,1
0.958,0.0001,889,915,25,10,0.994,50,0.01,1,10,5,1804,1
0.956,0.0001,951,953,25,10,0.994,50,0.01,1,10,5,1904,1
0.516,0.0001,0,0,25,10,0.997,50,0.01,1,10,5,0,2
0.594,0.0001,46,58,25,10,0.997,50,0.01,1,10,5,104,2
0.504,0.0001,95,109,25,10,0.997,50,0.01,1,10,5,204,2
0.572,0.0001,147,157,25,10,0.997,50,0.01,1,10,5,304,2
0.586,0.0001,199,205,25,10,0.997,50,0.01,1,10,5,404,2
0.618,0.0001,250,254,25,10,0.997,50,0.01,1,10,5,504,2
0.59,0.0001,301,303,25,10,0.997,50,0.01,1,10,5,604,2
0.674,0.0001,344,360,25,10,0.997,50,0.01,1,10,5,704,2
0.7,0.0001,390,414,25,10,0.997,50,0.01,1,10,5,804,2
0.756,0.0001,445,459,25,10,0.997,50,0.01,1,10,5,904,2
0.788,0.0001,504,500,25,10,0.997,50,0.01,1,10,5,1004,2
0.824,0.0001,557,547,25,10,0.997,50,0.01,1,10,5,1104,2
0.876,0.0001,606,598,25,10,0.997,50,0.01,1,10,5,1204,2
0.908,0.0001,653,651,25,10,0.997,50,0.01,1,10,5,1304,2
0.938,0.0001,708,696,25,10,0.997,50,0.01,1,10,5,1404,2
0.954,0.0001,764,740,25,10,0.997,50,0.01,1,10,5,1504,2
0.962,0.0001,814,790,25,10,0.997,50,0.01,1,10,5,1604,2
0.976,0.0001,857,847,25,10,0.997,50,0.01,1,10,5,1704,2
0.982,0.0001,907,897,25,10,0.997,50,0.01,1,10,5,1804,2
0.98,0.0001,947,957,25,10,0.997,50,0.01,1,10,5,1904,2
0.494,0.0001,0,0,25,10,0.993,50,0.01,1,10,5,0,3
0.516,0.0001,48,56,25,10,0.993,50,0.01,1,10,5,104,3
0.528,0.0001,106,98,25,10,0.993,50,0.01,1,10,5,204,3
0.576,0.0001,156,148,25,10,0.993,50,0.01,1,10,5,304,3
0.586,0.0001,206,198,25,10,0.993,50,0.01,1,10,5,404,3
0.578,0.0001,251,253,25,10,0.993,50,0.01,1,10,5,504,3
0.612,0.0001,293,311,25,10,0.993,50,0.01,1,10,5,604,3
0.632,0.0001,332,372,25,10,0.993,50,0.01,1,10,5,704,3
0.648,0.0001,381,423,25,10,0.993,50,0.01,1,10,5,804,3
0.708,0.0001,428,476,25,10,0.993,50,0.01,1,10,5,904,3
0.762,0.0001,484,520,25,10,0.993,50,0.01,1,10,5,1004,3
0.814,0.0001,530,574,25,10,0.993,50,0.01,1,10,5,1104,3
0.868,0.0001,591,613,25,10,0.993,50,0.01,1,10,5,1204,3
0.906,0.0001,641,663,25,10,0.993,50,0.01,1,10,5,1304,3
0.932,0.0001,690,714,25,10,0.993,50,0.01,1,10,5,1404,3
0.946,0.0001,745,759,25,10,0.993,50,0.01,1,10,5,1504,3
0.95,0.0001,800,804,25,10,0.993,50,0.01,1,10,5,1604,3
0.96,0.0001,851,853,25,10,0.993,50,0.01,1,10,5,1704,3
0.966,0.0001,896,908,25,10,0.993,50,0.01,1,10,5,1804,3
0.964,0.0001,955,949,25,10,0.993,50,0.01,1,10,5,1904,3
0.528,0.0001,0,0,25,10,1.0,50,0.01,1,10,5,0,4
0.624,0.0001,54,50,25,10,1.0,50,0.01,1,10,5,104,4
0.504,0.0001,101,103,25,10,1.0,50,0.01,1,10,5,204,4
0.626,0.0001,155,149,25,10,1.0,50,0.01,1,10,5,304,4
0.654,0.0001,210,194,25,10,1.0,50,0.01,1,10,5,404,4
0.66,0.0001,261,243,25,10,1.0,50,0.01,1,10,5,504,4
0.72,0.0001,308,296,25,10,1.0,50,0.01,1,10,5,604,4
0.764,0.0001,367,337,25,10,1.0,50,0.01,1,10,5,704,4
0.8,0.0001,412,392,25,10,1.0,50,0.01,1,10,5,804,4
0.84,0.0001,467,437,25,10,1.0,50,0.01,1,10,5,904,4
0.88,0.0001,512,492,25,10,1.0,50,0.01,1,10,5,1004,4
0.912,0.0001,556,548,25,10,1.0,50,0.01,1,10,5,1104,4
0.938,0.0001,606,598,25,10,1.0,50,0.01,1,10,5,1204,4
0.96,0.0001,648,656,25,10,1.0,50,0.01,1,10,5,1304,4
0.972,0.0001,704,700,25,10,1.0,50,0.01,1,10,5,1404,4
0.976,0.0001,748,756,25,10,1.0,50,0.01,1,10,5,1504,4
0.982,0.0001,800,804,25,10,1.0,50,0.01,1,10,5,1604,4
0.98,0.0001,850,854,25,10,1.0,50,0.01,1,10,5,1704,4
0.988,0.0001,902,902,25,10,1.0,50,0.01,1,10,5,1804,4
0.988,0.0001,954,950,25,10,1.0,50,0.01,1,10,5,1904,4
0.506,0.0001,0,0,25,10,0.993,50,0.01,1,10,5,0,5
0.568,0.0001,55,49,25,10,0.993,50,0.01,1,10,5,104,5
0.528,0.0001,105,99,25,10,0.993,50,0.01,1,10,5,204,5
0.606,0.0001,157,147,25,10,0.993,50,0.01,1,10,5,304,5
0.626,0.0001,204,200,25,10,0.993,50,0.01,1,10,5,404,5
0.686,0.0001,250,254,25,10,0.993,50,0.01,1,10,5,504,5
0.77,0.0001,296,308,25,10,0.993,50,0.01,1,10,5,604,5
0.798,0.0001,347,357,25,10,0.993,50,0.01,1,10,5,704,5
0.858,0.0001,399,405,25,10,0.993,50,0.01,1,10,5,804,5
0.892,0.0001,456,448,25,10,0.993,50,0.01,1,10,5,904,5
0.918,0.0001,501,503,25,10,0.993,50,0.01,1,10,5,1004,5
0.938,0.0001,552,552,25,10,0.993,50,0.01,1,10,5,1104,5
0.942,0.0001,608,596,25,10,0.993,50,0.01,1,10,5,1204,5
0.95,0.0001,666,638,25,10,0.993,50,0.01,1,10,5,1304,5
0.958,0.0001,721,683,25,10,0.993,50,0.01,1,10,5,1404,5
0.956,0.0001,766,738,25,10,0.993,50,0.01,1,10,5,1504,5
0.958,0.0001,805,799,25,10,0.993,50,0.01,1,10,5,1604,5
0.964,0.0001,862,842,25,10,0.993,50,0.01,1,10,5,1704,5
0.962,0.0001,908,896,25,10,0.993,50,0.01,1,10,5,1804,5
0.96,0.0001,953,951,25,10,0.993,50,0.01,1,10,5,1904,5
0.474,0.0001,0,0,25,10,0.996,50,0.01,1,10,5,0,6
0.538,0.0001,49,55,25,10,0.996,50,0.01,1,10,5,104,6
0.534,0.0001,105,99,25,10,0.996,50,0.01,1,10,5,204,6
0.57,0.0001,153,151,25,10,0.996,50,0.01,1,10,5,304,6
0.572,0.0001,205,199,25,10,0.996,50,0.01,1,10,5,404,6
0.576,0.0001,257,247,25,10,0.996,50,0.01,1,10,5,504,6
0.614,0.0001,307,297,25,10,0.996,50,0.01,1,10,5,604,6
0.662,0.0001,347,357,25,10,0.996,50,0.01,1,10,5,704,6
0.68,0.0001,395,409,25,10,0.996,50,0.01,1,10,5,804,6
0.72,0.0001,444,460,25,10,0.996,50,0.01,1,10,5,904,6
0.756,0.0001,484,520,25,10,0.996,50,0.01,1,10,5,1004,6
0.792,0.0001,537,567,25,10,0.996,50,0.01,1,10,5,1104,6
0.844,0.0001,589,615,25,10,0.996,50,0.01,1,10,5,1204,6
0.874,0.0001,650,654,25,10,0.996,50,0.01,1,10,5,1304,6
0.912,0.0001,705,699,25,10,0.996,50,0.01,1,10,5,1404,6
0.942,0.0001,759,745,25,10,0.996,50,0.01,1,10,5,1504,6
0.956,0.0001,810,794,25,10,0.996,50,0.01,1,10,5,1604,6
0.958,0.0001,867,837,25,10,0.996,50,0.01,1,10,5,1704,6
0.968,0.0001,921,883,25,10,0.996,50,0.01,1,10,5,1804,6
0.97,0.0001,974,930,25,10,0.996,50,0.01,1,10,5,1904,6
0.536,0.0001,0,0,25,10,0.997,50,0.01,1,10,5,0,7
0.612,0.0001,46,58,25,10,0.997,50,0.01,1,10,5,104,7
0.518,0.0001,99,105,25,10,0.997,50,0.01,1,10,5,204,7
0.602,0.0001,155,149,25,10,0.997,50,0.01,1,10,5,304,7
0.64,0.0001,209,195,25,10,0.997,50,0.01,1,10,5,404,7
0.614,0.0001,268,236,25,10,0.997,50,0.01,1,10,5,504,7
0.694,0.0001,323,281,25,10,0.997,50,0.01,1,10,5,604,7
0.73,0.0001,372,332,25,10,0.997,50,0.01,1,10,5,704,7
0.752,0.0001,423,381,25,10,0.997,50,0.01,1,10,5,804,7
0.79,0.0001,475,429,25,10,0.997,50,0.01,1,10,5,904,7
0.798,0.0001,518,486,25,10,0.997,50,0.01,1,10,5,1004,7
0.832,0.0001,566,538,25,10,0.997,50,0.01,1,10,5,1104,7
0.876,0.0001,607,597,25,10,0.997,50,0.01,1,10,5,1204,7
0.886,0.0001,652,652,25,10,0.997,50,0.01,1,10,5,1304,7
0.916,0.0001,705,699,25,10,0.997,50,0.01,1,10,5,1404,7
0.934,0.0001,760,744,25,10,0.997,50,0.01,1,10,5,1504,7
0.942,0.0001,808,796,25,10,0.997,50,0.01,1,10,5,1604,7
0.952,0.0001,846,858,25,10,0.997,50,0.01,1,10,5,1704,7
0.966,0.0001,895,909,25,10,0.997,50,0.01,1,10,5,1804,7
