accuracy,iteration,trial,embed_dim,hidden_dim,train_vocab_size,alpha,learning_rate,max_iter
0.0,10,1,2,2,20,1e-05,0.0001,150
0.0,20,1,2,2,20,1e-05,0.0001,150
0.0,30,1,2,2,20,1e-05,0.0001,150
0.0,40,1,2,2,20,1e-05,0.0001,150
0.0,50,1,2,2,20,1e-05,0.0001,150
0.0,60,1,2,2,20,1e-05,0.0001,150
0.0,70,1,2,2,20,1e-05,0.0001,150
0.0,80,1,2,2,20,1e-05,0.0001,150
0.0,90,1,2,2,20,1e-05,0.0001,150
0.0,100,1,2,2,20,1e-05,0.0001,150
0.0,110,1,2,2,20,1e-05,0.0001,150
0.0,120,1,2,2,20,1e-05,0.0001,150
0.0,130,1,2,2,20,1e-05,0.0001,150
0.0,140,1,2,2,20,1e-05,0.0001,150
0.0,150,1,2,2,20,1e-05,0.0001,150
0.0,10,2,2,2,20,1e-05,0.0001,150
0.0,20,2,2,2,20,1e-05,0.0001,150
0.0,30,2,2,2,20,1e-05,0.0001,150
0.0,40,2,2,2,20,1e-05,0.0001,150
0.0,50,2,2,2,20,1e-05,0.0001,150
0.019230769230769232,60,2,2,2,20,1e-05,0.0001,150
0.019230769230769232,70,2,2,2,20,1e-05,0.0001,150
0.0,80,2,2,2,20,1e-05,0.0001,150
0.0,90,2,2,2,20,1e-05,0.0001,150
0.0,100,2,2,2,20,1e-05,0.0001,150
0.0,110,2,2,2,20,1e-05,0.0001,150
0.0,120,2,2,2,20,1e-05,0.0001,150
0.0,130,2,2,2,20,1e-05,0.0001,150
0.0,140,2,2,2,20,1e-05,0.0001,150
0.0,150,2,2,2,20,1e-05,0.0001,150
0.0,10,3,2,2,20,1e-05,0.0001,150
0.0,20,3,2,2,20,1e-05,0.0001,150
0.019230769230769232,30,3,2,2,20,1e-05,0.0001,150
0.038461538461538464,40,3,2,2,20,1e-05,0.0001,150
0.038461538461538464,50,3,2,2,20,1e-05,0.0001,150
0.038461538461538464,60,3,2,2,20,1e-05,0.0001,150
0.038461538461538464,70,3,2,2,20,1e-05,0.0001,150
0.057692307692307696,80,3,2,2,20,1e-05,0.0001,150
0.038461538461538464,90,3,2,2,20,1e-05,0.0001,150
0.019230769230769232,100,3,2,2,20,1e-05,0.0001,150
0.0,110,3,2,2,20,1e-05,0.0001,150
0.0,120,3,2,2,20,1e-05,0.0001,150
0.0,130,3,2,2,20,1e-05,0.0001,150
0.0,140,3,2,2,20,1e-05,0.0001,150
0.0,150,3,2,2,20,1e-05,0.0001,150
0.0,10,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,20,4,2,2,20,1e-05,0.0001,150
0.038461538461538464,30,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,40,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,50,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,60,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,70,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,80,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,90,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,100,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,110,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,120,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,130,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,140,4,2,2,20,1e-05,0.0001,150
0.019230769230769232,150,4,2,2,20,1e-05,0.0001,150
